|                  passKey                  |        option         |
| pass_live_range_shrinkage                 | -ftree-loop-vectorize |
| pass_sms                                  | -fgcse                |
| pass_sms                                  | -fgcse-las            |
| pass_sms                                  | -fgcse-lm             |
| pass_sms                                  | -finline-functions    |
| pass_sms                                  | -ftree-loop-vectorize |
| pass_match_asm_constraints                | -fgcse                |
| pass_match_asm_constraints                | -fgcse-las            |
| pass_match_asm_constraints                | -fgcse-lm             |
| pass_match_asm_constraints                | -finline-functions    |
| pass_match_asm_constraints                | -ftree-loop-vectorize |
| pass_mode_switching                       | -fgcse                |
| pass_mode_switching                       | -fgcse-las            |
| pass_mode_switching                       | -fgcse-lm             |
| pass_mode_switching                       | -finline-functions    |
| pass_mode_switching                       | -ftree-loop-vectorize |
| pass_lower_subreg2                        | -fgcse                |
| pass_lower_subreg2                        | -fgcse-las            |
| pass_lower_subreg2                        | -fgcse-lm             |
| pass_lower_subreg2                        | -finline-functions    |
| pass_lower_subreg2                        | -ftree-loop-vectorize |
| pass_split_all_insns                      | -fgcse                |
| pass_split_all_insns                      | -fgcse-las            |
| pass_split_all_insns                      | -fgcse-lm             |
| pass_split_all_insns                      | -finline-functions    |
| pass_split_all_insns                      | -ftree-loop-vectorize |
| pass_outof_cfg_layout_mode                | -fgcse                |
| pass_outof_cfg_layout_mode                | -fgcse-las            |
| pass_outof_cfg_layout_mode                | -fgcse-lm             |
| pass_outof_cfg_layout_mode                | -finline-functions    |
| pass_outof_cfg_layout_mode                | -ftree-loop-vectorize |
| pass_if_after_combine                     | -fgcse                |
| pass_if_after_combine                     | -fgcse-las            |
| pass_if_after_combine                     | -fgcse-lm             |
| pass_if_after_combine                     | -finline-functions    |
| pass_if_after_combine                     | -ftree-loop-vectorize |
| pass_stv                                  | -fgcse                |
| pass_stv                                  | -fgcse-las            |
| pass_stv                                  | -fgcse-lm             |
| pass_stv                                  | -finline-functions    |
| pass_stv                                  | -ftree-loop-vectorize |
| pass_remove_partial_avx_dependency        | -fgcse                |
| pass_remove_partial_avx_dependency        | -fgcse-las            |
| pass_remove_partial_avx_dependency        | -fgcse-lm             |
| pass_remove_partial_avx_dependency        | -finline-functions    |
| pass_remove_partial_avx_dependency        | -ftree-loop-vectorize |
| pass_combine                              | -fgcse                |
| pass_combine                              | -fgcse-las            |
| pass_combine                              | -fgcse-lm             |
| pass_combine                              | -finline-functions    |
| pass_combine                              | -ftree-loop-vectorize |
| pass_ud_rtl_dce                           | -fgcse                |
| pass_ud_rtl_dce                           | -fgcse-las            |
| pass_ud_rtl_dce                           | -fgcse-lm             |
| pass_ud_rtl_dce                           | -finline-functions    |
| pass_ud_rtl_dce                           | -ftree-loop-vectorize |
| pass_initialize_regs                      | -fgcse                |
| pass_initialize_regs                      | -fgcse-las            |
| pass_initialize_regs                      | -fgcse-lm             |
| pass_initialize_regs                      | -finline-functions    |
| pass_initialize_regs                      | -ftree-loop-vectorize |
| pass_rtl_fwprop_addr                      | -fgcse                |
| pass_rtl_fwprop_addr                      | -fgcse-las            |
| pass_rtl_fwprop_addr                      | -fgcse-lm             |
| pass_rtl_fwprop_addr                      | -finline-functions    |
| pass_rtl_fwprop_addr                      | -ftree-loop-vectorize |
| pass_rtl_dse1                             | -fgcse                |
| pass_rtl_dse1                             | -fgcse-las            |
| pass_rtl_dse1                             | -fgcse-lm             |
| pass_rtl_dse1                             | -finline-functions    |
| pass_rtl_dse1                             | -ftree-loop-vectorize |
| pass_cse2                                 | -fgcse                |
| pass_cse2                                 | -fgcse-las            |
| pass_cse2                                 | -fgcse-lm             |
| pass_cse2                                 | -finline-functions    |
| pass_cse2                                 | -ftree-loop-vectorize |
| pass_rtl_cprop                            | -fgcse                |
| pass_rtl_cprop                            | -fgcse-las            |
| pass_rtl_cprop                            | -fgcse-lm             |
| pass_rtl_cprop                            | -finline-functions    |
| pass_rtl_cprop                            | -ftree-loop-vectorize |
| pass_web                                  | -fgcse                |
| pass_web                                  | -fgcse-las            |
| pass_web                                  | -fgcse-lm             |
| pass_web                                  | -finline-functions    |
| pass_web                                  | -ftree-loop-vectorize |
| pass_rtl_loop_done                        | -fgcse                |
| pass_rtl_loop_done                        | -fgcse-las            |
| pass_rtl_loop_done                        | -fgcse-lm             |
| pass_rtl_loop_done                        | -finline-functions    |
| pass_rtl_loop_done                        | -ftree-loop-vectorize |
| pass_rtl_doloop                           | -fgcse                |
| pass_rtl_doloop                           | -fgcse-las            |
| pass_rtl_doloop                           | -fgcse-lm             |
| pass_rtl_doloop                           | -finline-functions    |
| pass_rtl_doloop                           | -ftree-loop-vectorize |
| pass_rtl_unroll_loops                     | -fgcse                |
| pass_rtl_unroll_loops                     | -fgcse-las            |
| pass_rtl_unroll_loops                     | -fgcse-lm             |
| pass_rtl_unroll_loops                     | -finline-functions    |
| pass_rtl_unroll_loops                     | -ftree-loop-vectorize |
| pass_rtl_move_loop_invariants             | -fgcse                |
| pass_rtl_move_loop_invariants             | -fgcse-las            |
| pass_rtl_move_loop_invariants             | -fgcse-lm             |
| pass_rtl_move_loop_invariants             | -finline-functions    |
| pass_rtl_move_loop_invariants             | -ftree-loop-vectorize |
| pass_rtl_ifcvt                            | -fgcse                |
| pass_rtl_ifcvt                            | -fgcse-las            |
| pass_rtl_ifcvt                            | -fgcse-lm             |
| pass_rtl_ifcvt                            | -finline-functions    |
| pass_rtl_ifcvt                            | -ftree-loop-vectorize |
| pass_cse_after_global_opts                | -fgcse                |
| pass_cse_after_global_opts                | -fgcse-las            |
| pass_cse_after_global_opts                | -fgcse-lm             |
| pass_cse_after_global_opts                | -finline-functions    |
| pass_cse_after_global_opts                | -ftree-loop-vectorize |
| pass_rtl_store_motion                     | -fgcse                |
| pass_rtl_store_motion                     | -fgcse-las            |
| pass_rtl_store_motion                     | -fgcse-lm             |
| pass_rtl_store_motion                     | -finline-functions    |
| pass_rtl_store_motion                     | -ftree-loop-vectorize |
| pass_rtl_hoist                            | -fgcse                |
| pass_rtl_hoist                            | -fgcse-las            |
| pass_rtl_hoist                            | -fgcse-lm             |
| pass_rtl_hoist                            | -finline-functions    |
| pass_rtl_hoist                            | -ftree-loop-vectorize |
| pass_rtl_pre                              | -fgcse                |
| pass_rtl_pre                              | -fgcse-las            |
| pass_rtl_pre                              | -fgcse-lm             |
| pass_rtl_pre                              | -finline-functions    |
| pass_rtl_pre                              | -ftree-loop-vectorize |
| pass_rtl_fwprop                           | -fgcse                |
| pass_rtl_fwprop                           | -fgcse-las            |
| pass_rtl_fwprop                           | -fgcse-lm             |
| pass_rtl_fwprop                           | -finline-functions    |
| pass_rtl_fwprop                           | -ftree-loop-vectorize |
| pass_cse                                  | -fgcse                |
| pass_cse                                  | -fgcse-las            |
| pass_cse                                  | -fgcse-lm             |
| pass_cse                                  | -finline-functions    |
| pass_cse                                  | -ftree-loop-vectorize |
| pass_lower_subreg                         | -fgcse                |
| pass_lower_subreg                         | -fgcse-las            |
| pass_lower_subreg                         | -fgcse-lm             |
| pass_lower_subreg                         | -finline-functions    |
| pass_lower_subreg                         | -ftree-loop-vectorize |
| pass_jump                                 | -fgcse                |
| pass_jump                                 | -fgcse-las            |
| pass_jump                                 | -fgcse-lm             |
| pass_jump                                 | -finline-functions    |
| pass_jump                                 | -ftree-loop-vectorize |
| pass_into_cfg_layout_mode                 | -fgcse                |
| pass_into_cfg_layout_mode                 | -fgcse-las            |
| pass_into_cfg_layout_mode                 | -fgcse-lm             |
| pass_into_cfg_layout_mode                 | -finline-functions    |
| pass_into_cfg_layout_mode                 | -ftree-loop-vectorize |
| pass_instantiate_virtual_regs             | -fgcse                |
| pass_instantiate_virtual_regs             | -fgcse-las            |
| pass_instantiate_virtual_regs             | -fgcse-lm             |
| pass_instantiate_virtual_regs             | -finline-functions    |
| pass_instantiate_virtual_regs             | -ftree-loop-vectorize |
| pass_expand                               | -fgcse                |
| pass_expand                               | -fgcse-las            |
| pass_expand                               | -fgcse-lm             |
| pass_expand                               | -finline-functions    |
| pass_expand                               | -ftree-loop-vectorize |
| pass_gen_hsail                            | -fgcse                |
| pass_gen_hsail                            | -fgcse-las            |
| pass_gen_hsail                            | -fgcse-lm             |
| pass_gen_hsail                            | -finline-functions    |
| pass_gen_hsail                            | -ftree-loop-vectorize |
| pass_cleanup_cfg_post_optimizing          | -fgcse                |
| pass_cleanup_cfg_post_optimizing          | -fgcse-las            |
| pass_cleanup_cfg_post_optimizing          | -fgcse-lm             |
| pass_cleanup_cfg_post_optimizing          | -finline-functions    |
| pass_cleanup_cfg_post_optimizing          | -ftree-loop-vectorize |
| pass_nrv                                  | -fgcse                |
| pass_nrv                                  | -fgcse-las            |
| pass_nrv                                  | -fgcse-lm             |
| pass_nrv                                  | -finline-functions    |
| pass_nrv                                  | -ftree-loop-vectorize |
| pass_lower_resx                           | -fgcse                |
| pass_lower_resx                           | -fgcse-las            |
| pass_lower_resx                           | -fgcse-lm             |
| pass_lower_resx                           | -finline-functions    |
| pass_lower_resx                           | -ftree-loop-vectorize |
| pass_cleanup_eh                           | -fgcse                |
| pass_cleanup_eh                           | -fgcse-las            |
| pass_cleanup_eh                           | -fgcse-lm             |
| pass_cleanup_eh                           | -finline-functions    |
| pass_cleanup_eh                           | -ftree-loop-vectorize |
| pass_sanopt                               | -fgcse                |
| pass_sanopt                               | -fgcse-las            |
| pass_sanopt                               | -fgcse-lm             |
| pass_sanopt                               | -finline-functions    |
| pass_sanopt                               | -ftree-loop-vectorize |
| pass_tsan_O0                              | -fgcse                |
| pass_tsan_O0                              | -fgcse-las            |
| pass_tsan_O0                              | -fgcse-lm             |
| pass_tsan_O0                              | -finline-functions    |
| pass_tsan_O0                              | -ftree-loop-vectorize |
| pass_lower_complex_O0                     | -fgcse                |
| pass_lower_complex_O0                     | -fgcse-las            |
| pass_lower_complex_O0                     | -fgcse-lm             |
| pass_lower_complex_O0                     | -finline-functions    |
| pass_lower_complex_O0                     | -ftree-loop-vectorize |
| pass_lower_vector                         | -fgcse                |
| pass_lower_vector                         | -fgcse-las            |
| pass_lower_vector                         | -fgcse-lm             |
| pass_lower_vector                         | -finline-functions    |
| pass_lower_vector                         | -ftree-loop-vectorize |
