"option","visibleVarName","storageFieldName"
"-ftree-tail-merge","flag_tree_tail_merge","x_flag_tree_tail_merge"
"-ftree-ter","flag_tree_ter","x_flag_tree_ter"
"-ftree-vrp","flag_tree_vrp","x_flag_tree_vrp"
"-funconstrained-commons","flag_unconstrained_commons","x_flag_unconstrained_commons"
"-funroll-all-loops","flag_unroll_all_loops","x_flag_unroll_all_loops"
"-funroll-loops","flag_unroll_loops","x_flag_unroll_loops"
"-funswitch-loops","flag_unswitch_loops","x_flag_unswitch_loops"
"-funwind-tables","flag_unwind_tables","x_flag_unwind_tables"
"-fvariable-expansion-in-unroller","flag_variable_expansion_in_unroller","x_flag_variable_expansion_in_unroller"
"-fvect-cost-model=","flag_vect_cost_model","x_flag_vect_cost_model"
"-fversion-loops-for-strides","flag_version_loops_for_strides","x_flag_version_loops_for_strides"
"-fvpt","flag_value_profile_transformations","x_flag_value_profile_transformations"
"-fweb","flag_web","x_flag_web"
"-fwrapv","flag_wrapv","x_flag_wrapv"
"-fwrapv-pointer","flag_wrapv_pointer","x_flag_wrapv_pointer"
