"-finline-functions-called-once","flag_inline_functions_called_once","x_flag_inline_functions_called_once"
"-finline-small-functions","flag_inline_small_functions","x_flag_inline_small_functions"
"-finvariants","flag_invariants","x_flag_invariants"
"-fipa-bit-cp","flag_ipa_bit_cp","x_flag_ipa_bit_cp"
"-fipa-cp","flag_ipa_cp","x_flag_ipa_cp"
"-fipa-cp-clone","flag_ipa_cp_clone","x_flag_ipa_cp_clone"
"-fipa-icf","flag_ipa_icf","x_flag_ipa_icf"
"-fipa-icf-functions","flag_ipa_icf_functions","x_flag_ipa_icf_functions"
"-fipa-icf-variables","flag_ipa_icf_variables","x_flag_ipa_icf_variables"
"-fipa-profile","flag_ipa_profile","x_flag_ipa_profile"
"-fipa-pta","flag_ipa_pta","x_flag_ipa_pta"
"-fipa-pure-const","flag_ipa_pure_const","x_flag_ipa_pure_const"
"-fipa-ra","flag_ipa_ra","x_flag_ipa_ra"
"-fipa-reference","flag_ipa_reference","x_flag_ipa_reference"
"-fipa-reference-addressable","flag_ipa_reference_addressable","x_flag_ipa_reference_addressable"
"-fipa-sra","flag_ipa_sra","x_flag_ipa_sra"
"-fipa-stack-alignment","flag_ipa_stack_alignment","x_flag_ipa_stack_alignment"
"-fipa-vrp","flag_ipa_vrp","x_flag_ipa_vrp"
"-fira-hoist-pressure","flag_ira_hoist_pressure","x_flag_ira_hoist_pressure"
"-fira-loop-pressure","flag_ira_loop_pressure","x_flag_ira_loop_pressure"
"-fira-share-save-slots","flag_ira_share_save_slots","x_flag_ira_share_save_slots"
"-fira-share-spill-slots","flag_ira_share_spill_slots","x_flag_ira_share_spill_slots"
"-fisolate-erroneous-paths-attribute","flag_isolate_erroneous_paths_attribute","x_flag_isolate_erroneous_paths_attribute"
"-fisolate-erroneous-paths-dereference","flag_isolate_erroneous_paths_dereference","x_flag_isolate_erroneous_paths_dereference"
"-fivopts","flag_ivopts","x_flag_ivopts"
"-fjump-tables","flag_jump_tables","x_flag_jump_tables"
"-fkeep-gc-roots-live","flag_keep_gc_roots_live","x_flag_keep_gc_roots_live"
"-fkeep-inline-dllexport","flag_keep_inline_dllexport","x_flag_keep_inline_dllexport"
"-fkeep-inline-functions","flag_keep_inline_functions","x_flag_keep_inline_functions"
"-fkeep-static-consts","flag_keep_static_consts","x_flag_keep_static_consts"
